symbol,signal_date,status,entry_price,entry_date,exit_price,exit_date,exit_reason,return_percent,months_held,signal_high
RBLBANK,2025-07-01,Completed,276.25,2025-09-01,275.9,2025-10-01,End of Data,-0.13,1,271.89
ASIANPAINT,2025-07-01,Completed,2518.6,2025-08-01,2350.0,2025-09-01,Stop Loss,-6.69,1,2535.0
UPL,2024-07-01,Completed,591.9,2024-08-01,548.63,2024-10-01,Stop Loss,-7.31,2,574.04
PEL,2024-07-01,Completed,1033.5,2024-08-01,1051.08,2024-10-01,Stop Loss,1.7,2,1024.09
WHIRLPOOL,2024-06-01,Completed,2131.07,2024-07-01,1981.66,2024-10-01,Stop Loss,-7.01,3,2185.18
CROMPTON,2024-05-01,Completed,398.91,2024-06-01,412.58,2024-09-01,Stop Loss,3.43,3,403.53
BIOCON,2024-02-01,Completed,297.74,2024-04-01,315.68,2024-10-01,Stop Loss,6.03,6,306.27
SHILPAMED,2024-02-01,Completed,230.0,2024-03-01,354.42,2025-01-01,Stop Loss,54.1,10,227.12
INDUSTOWER,2024-01-01,Completed,252.8,2024-02-01,340.55,2024-10-01,Stop Loss,34.71,8,236.0
WHIRLPOOL,2023-09-01,Completed,1631.88,2023-10-01,1561.37,2023-11-01,Stop Loss,-4.32,1,1692.29
PNB,2023-09-01,Completed,91.97,2023-12-01,104.19,2024-09-01,Stop Loss,13.29,9,79.38
PEL,2023-07-01,Completed,1032.23,2023-08-01,955.84,2023-10-01,Stop Loss,-7.4,2,1093.08
SUNTV,2023-07-01,Completed,582.51,2023-08-01,592.37,2024-02-01,Stop Loss,1.69,6,523.69
LUPIN,2023-07-01,Completed,1086.3,2023-08-01,1604.29,2024-06-01,Target 1 - Red Doji,47.68,10,977.35
AUROPHARMA,2023-05-01,Completed,721.43,2023-06-01,1084.68,2024-03-01,Target 1 - Red Doji,50.35,9,657.55
UNIONBANK,2023-05-01,Completed,81.14,2023-07-01,117.56,2024-08-01,Stop Loss,44.89,13,71.84
JUSTDIAL,2023-05-01,Completed,738.7,2023-06-01,729.4,2023-09-01,Stop Loss,-1.26,3,725.0
GLENMARK,2023-04-01,Completed,594.46,2023-05-01,1526.86,2024-11-01,Target 1 - Red Doji,156.85,18,565.61
UNIONBANK,2022-12-01,Completed,80.95,2023-08-01,113.33,2024-10-01,Stop Loss,40.01,14,87.88
MANAPPURAM,2022-12-01,Completed,123.49,2023-04-01,104.97,2023-05-01,Stop Loss,-15.0,1,119.17
IDBI,2022-12-01,Completed,57.59,2023-08-01,80.27,2024-11-01,End of Data,39.39,15,57.73
BHEL,2022-11-01,Completed,81.33,2023-05-01,238.5,2024-10-01,End of Data,193.24,17,84.26
EXIDEIND,2022-11-01,Completed,192.55,2023-04-01,490.33,2024-08-01,Target 1 - Red Doji,154.65,16,187.15
INDUSINDBK,2022-08-01,Completed,1159.47,2022-09-01,1117.84,2022-10-01,Stop Loss,-3.59,1,1086.68
SUNTV,2022-08-01,Completed,470.08,2022-09-01,454.33,2022-11-01,Stop Loss,-3.35,2,478.73
CANBK,2022-08-01,Completed,52.51,2022-10-01,50.55,2023-02-01,Stop Loss,-3.74,4,44.22
BANKBARODA,2022-07-01,Completed,119.49,2022-08-01,154.2,2023-03-01,Target 1 - Red Doji,29.04,7,109.45
BOSCHLTD,2022-07-01,Completed,16664.76,2022-08-01,15025.65,2022-09-01,Stop Loss,-9.84,1,16260.16
WHIRLPOOL,2022-07-01,Completed,1806.96,2022-08-01,1619.1,2022-09-01,Stop Loss,-10.4,1,1782.05
HEROMOTOCO,2022-05-01,Completed,2517.36,2022-07-01,2306.02,2022-09-01,Stop Loss,-8.4,2,2510.13
SUNTV,2022-04-01,Completed,470.08,2022-09-01,430.14,2023-01-01,Stop Loss,-8.5,4,493.86
COALINDIA,2022-02-01,Completed,140.71,2022-03-01,181.6,2023-03-01,Target 1 - Red Doji,29.06,12,127.0
ZEEL,2021-11-01,No Entry Found,,,,,No Entry,0.0,0,
BOSCHLTD,2021-10-01,Completed,17098.2,2023-02-01,18105.07,2023-08-01,Target 1 - Red Doji,5.89,6,17524.73
COALINDIA,2021-10-01,Completed,140.71,2022-03-01,181.6,2023-03-01,Target 1 - Red Doji,29.06,12,143.42
INDUSTOWER,2021-09-01,No Entry Found,,,,,No Entry,0.0,0,
ONGC,2021-09-01,Completed,116.19,2021-10-01,110.77,2021-11-01,Stop Loss,-4.66,1,114.2
ITC,2021-08-01,Completed,204.7,2021-09-01,193.48,2021-10-01,Stop Loss,-5.48,1,188.23
IOC,2021-05-01,Completed,65.27,2021-09-01,62.22,2022-06-01,Stop Loss,-4.67,9,58.38
GLENMARK,2021-05-01,Completed,641.74,2021-06-01,597.39,2021-07-01,Stop Loss,-6.91,1,629.4
SHILPAMED,2021-05-01,Completed,267.96,2021-06-01,276.78,2021-09-01,Stop Loss,3.29,3,280.56
NTPC,2021-03-01,Completed,93.58,2021-05-01,137.04,2022-07-01,Target 1 - Red Doji,46.43,14,97.14
CONCOR,2021-02-01,Completed,582.91,2021-03-01,638.57,2021-10-01,Target 1 - Red Doji,9.55,7,581.94
INDUSTOWER,2021-02-01,Completed,231.63,2021-03-01,229.08,2021-05-01,Stop Loss,-1.1,2,248.48
PEL,2021-02-01,Completed,1238.78,2021-06-01,1279.33,2021-11-01,Target 1 - Red Doji,3.27,5,1014.47
LICHSGFIN,2021-02-01,Completed,425.56,2021-05-01,374.63,2021-07-01,Stop Loss,-11.97,2,444.86
TATAMOTORS,2021-02-01,Completed,334.63,2021-06-01,289.64,2021-07-01,Stop Loss,-13.44,1,336.89
FEDERALBNK,2021-02-01,Completed,83.4,2021-05-01,78.29,2021-08-01,Stop Loss,-6.12,3,84.31
CUMMINSIND,2021-02-01,Completed,859.25,2021-03-01,782.59,2021-04-01,Stop Loss,-8.92,1,761.23
SUNTV,2021-01-01,Completed,434.28,2021-02-01,418.17,2021-03-01,Stop Loss,-3.71,1,484.87
LUPIN,2021-01-01,Completed,1187.43,2021-05-01,1078.28,2021-07-01,Target 1 - Red Doji,-9.19,2,1084.03
GAIL,2021-01-01,Completed,77.39,2021-02-01,77.56,2021-07-01,Stop Loss,0.22,5,78.29
SUNPHARMA,2020-12-01,Completed,564.68,2021-02-01,723.84,2021-11-01,Target 1 - Red Doji,28.19,9,569.29
ABB,2020-12-01,Completed,1359.88,2021-01-01,1352.97,2021-04-01,Stop Loss,-0.51,3,1234.2
TATAPOWER,2020-12-01,Completed,91.41,2021-02-01,220.4,2022-11-01,End of Data,141.12,21,75.7
APOLLOTYRE,2020-12-01,Completed,184.49,2021-01-01,208.32,2021-05-01,Target 1 - Red Doji,12.92,4,187.64
SAIL,2020-12-01,Completed,64.98,2021-02-01,87.66,2021-11-01,Stop Loss,34.9,9,63.41
LT,2020-12-01,Completed,1269.44,2021-01-01,1274.9,2021-04-01,Stop Loss,0.43,3,1273.05
UBL,2020-12-01,Completed,1271.7,2021-01-01,1136.33,2021-02-01,Stop Loss,-10.64,1,1169.26
NMDC,2020-12-01,Completed,23.0,2021-02-01,28.02,2021-09-01,Stop Loss,21.82,7,21.88
SBIN,2020-12-01,Completed,260.3,2021-01-01,569.78,2022-11-01,End of Data,118.89,22,258.27
MOTHERSON,2020-12-01,Completed,56.99,2021-02-01,56.51,2021-11-01,Stop Loss,-0.83,9,44.15
VEDL,2020-12-01,Completed,101.05,2021-02-01,134.81,2022-06-01,Stop Loss,33.41,16,83.21
ADANIPOWER,2020-12-01,Completed,17.01,2021-03-01,19.87,2021-11-01,Target 1 - Red Doji,16.81,8,12.79
EXIDEIND,2020-12-01,Completed,186.18,2021-01-01,178.4,2021-03-01,Stop Loss,-4.18,2,189.98
INDHOTEL,2020-12-01,Completed,133.29,2021-05-01,318.91,2022-11-01,End of Data,139.26,18,133.24
TATASTEEL,2020-11-01,Completed,55.41,2020-12-01,51.74,2021-01-01,Stop Loss,-6.63,1,50.13
ASHOKLEY,2020-11-01,Completed,45.26,2020-12-01,53.44,2021-04-01,Target 1 - Red Doji,18.07,4,46.38
RECLTD,2020-11-01,Completed,70.39,2020-12-01,74.93,2021-11-01,Stop Loss,6.45,11,61.69
AXISBANK,2020-11-01,Completed,660.14,2021-01-01,652.92,2021-11-01,Stop Loss,-1.09,10,637.34
DLF,2020-11-01,Completed,224.8,2020-12-01,238.75,2021-04-01,Stop Loss,6.21,4,193.91
GRASIM,2020-10-01,Completed,856.1,2020-11-01,1590.09,2021-12-01,Target 1 - Red Doji,85.74,13,785.96
LUPIN,2020-09-01,Completed,1187.43,2021-05-01,1078.28,2021-07-01,Target 1 - Red Doji,-9.19,2,1092.79
BHARATFORG,2020-09-01,Completed,491.15,2020-11-01,671.83,2021-11-01,Target 1 - Red Doji,36.79,12,495.35
AMBUJACEM,2020-08-01,Completed,234.15,2020-10-01,391.45,2021-10-01,Target 1 - Red Doji,67.18,12,209.04
CHOLAFIN,2020-08-01,Completed,269.87,2020-10-01,549.53,2021-08-01,Target 1 - Red Doji,103.63,10,255.8
JINDALSTEL,2020-08-01,Completed,240.6,2020-11-01,371.7,2021-08-01,Target 1 - Red Doji,54.49,9,235.42
HINDALCO,2020-08-01,Completed,218.44,2020-11-01,410.61,2022-05-01,Stop Loss,87.97,18,195.05
M&M,2020-08-01,Completed,579.93,2020-09-01,566.67,2020-10-01,Stop Loss,-2.29,1,618.76
EICHERMOT,2020-07-01,Completed,1994.52,2020-08-01,1988.41,2020-10-01,Stop Loss,-0.31,2,2071.26
HEROMOTOCO,2020-07-01,Completed,2555.94,2020-08-01,2380.58,2020-10-01,Stop Loss,-6.86,2,2431.55
JSWSTEEL,2020-07-01,Completed,255.4,2020-08-01,639.62,2021-10-01,Target 1 - Red Doji,150.44,14,207.9
HINDZINC,2020-07-01,Completed,137.19,2020-08-01,127.11,2020-09-01,Stop Loss,-7.35,1,130.71
UPL,2020-06-01,Completed,448.99,2020-07-01,430.56,2020-10-01,Stop Loss,-4.1,3,441.34
WIPRO,2020-06-01,Completed,132.84,2020-07-01,271.34,2022-01-01,Target 1 - Red Doji,104.27,18,108.75
ADANIPORTS,2020-06-01,Completed,345.33,2020-08-01,723.22,2022-05-01,End of Data,109.43,21,349.46
BAJAJHLDNG,2020-06-01,Completed,2820.26,2020-11-01,4844.8,2022-05-01,End of Data,71.79,18,2766.18
SHILPAMED,2020-06-01,Completed,261.47,2020-08-01,222.58,2020-10-01,Stop Loss,-14.87,2,292.74
AUROPHARMA,2020-05-01,Completed,745.75,2020-06-01,770.84,2020-09-01,Stop Loss,3.36,3,725.12
CIPLA,2020-05-01,Completed,695.04,2020-07-01,914.75,2021-08-01,Target 1 - Red Doji,31.61,13,628.25
MOTHERSON,2020-01-01,Completed,39.42,2020-11-01,56.51,2021-11-01,Target 1 - Red Doji,43.35,12,39.12
TATASTEEL,2019-12-01,Completed,49.7,2020-11-01,115.82,2021-10-01,Target 1 - Red Doji,133.03,11,39.97
BHARATFORG,2019-12-01,Completed,471.94,2020-01-01,418.8,2020-02-01,Stop Loss,-11.26,1,485.75
DLF,2019-11-01,Completed,220.63,2019-12-01,192.73,2020-02-01,Stop Loss,-12.65,2,216.53
GRASIM,2019-11-01,Completed,756.91,2020-01-01,667.8,2020-02-01,Stop Loss,-11.77,1,801.95
MFSL,2019-11-01,Completed,534.45,2019-12-01,506.4,2020-01-01,Stop Loss,-5.25,1,521.1
EICHERMOT,2019-10-01,Completed,2164.42,2019-11-01,2129.79,2019-12-01,Stop Loss,-1.6,1,2145.39
TATACOMM,2019-09-01,Completed,413.2,2019-11-01,334.99,2020-02-01,Stop Loss,-18.93,3,363.31
BHARTIARTL,2019-05-01,Completed,331.51,2019-08-01,421.46,2020-03-01,Target 1 - Red Doji,27.13,7,340.31
COALINDIA,2019-05-01,Completed,145.5,2019-06-01,117.21,2019-07-01,Stop Loss,-19.44,1,150.75
ONGC,2019-04-01,Completed,120.03,2019-05-01,117.1,2019-06-01,Stop Loss,-2.44,1,119.47
NMDC,2019-04-01,Completed,19.13,2019-06-01,14.08,2019-08-01,Stop Loss,-26.38,2,18.37
MFSL,2019-04-01,Completed,504.9,2019-11-01,384.6,2020-03-01,Stop Loss,-23.83,4,474.5
AMBUJACEM,2019-03-01,Completed,206.1,2019-05-01,190.24,2019-06-01,Stop Loss,-7.7,1,212.94
SIEMENS,2019-03-01,Completed,665.24,2019-04-01,649.36,2019-07-01,Stop Loss,-2.39,3,644.97
DLF,2019-03-01,Completed,209.93,2019-11-01,132.02,2020-03-01,Stop Loss,-37.11,4,195.03
YESBANK,2019-03-01,No Entry Found,,,,,No Entry,0.0,0,
NTPC,2019-03-01,Completed,109.68,2019-06-01,98.19,2019-07-01,Stop Loss,-10.47,1,110.18
RECLTD,2019-01-01,Completed,58.32,2019-02-01,64.99,2019-07-01,Stop Loss,11.44,5,55.46
LICHSGFIN,2018-12-01,Completed,465.84,2019-03-01,372.36,2019-08-01,Stop Loss,-20.07,5,436.56
MFSL,2018-12-01,Completed,435.2,2019-03-01,417.65,2019-04-01,Stop Loss,-4.03,1,453.95
CUMMINSIND,2018-11-01,Completed,746.63,2018-12-01,692.59,2019-01-01,Stop Loss,-7.24,1,725.02
ADANIPOWER,2018-11-01,Completed,12.2,2019-07-01,9.46,2020-02-01,Stop Loss,-22.46,7,11.5
DRREDDY,2018-11-01,Completed,531.32,2019-03-01,511.85,2019-05-01,Stop Loss,-3.67,2,522.59
SUNPHARMA,2018-09-01,No Entry Found,,,,,No Entry,0.0,0,
APOLLOHOSP,2018-09-01,Completed,1240.85,2018-11-01,1119.29,2019-02-01,Stop Loss,-9.8,3,1173.23
RECLTD,2018-08-01,Completed,52.25,2018-12-01,57.07,2019-09-01,Stop Loss,9.23,9,51.16
SHILPAMED,2018-08-01,Completed,226.61,2020-02-01,121.23,2020-03-01,Stop Loss,-46.5,1,260.19
