signal_index,symbol,signal_date,market_cap,sector,status,signal_candle_high,entry_price,entry_date,entry_candle_index,exit_price,exit_date,exit_reason,months_held,total_return_percent,cagr_percent,cmgr_percent,max_high,max_high_date,drawdown_percent,stop_loss_price,target1_price,target2_price
700,INDIAGLYCO,01-09-2016,Smallcap,FMCG,Completed,62.93,62.93,2016-10-01,3.0,59.08,2016-11-01,Stop Loss,1,-6.12,-53.13,-6.12,66.42,2016-10-01,21.83,59.08,204.95,174.38
701,JISLJALEQS,01-09-2016,Smallcap,Plastic products,Completed,94.39,94.39,2016-10-01,3.0,84.08,2016-11-01,Stop Loss,1,-10.92,-75.04,-10.92,101.58,2016-10-01,18.16,84.08,,82.44
702,MIRCELECTR,01-09-2016,Smallcap,Consumer Discretionary,Completed,14.75,14.75,2016-10-01,3.0,13.5,2016-11-01,Stop Loss,1,-8.47,-65.45,-8.47,19.15,2016-10-01,22.03,13.5,,13.1
703,PRIMESECU,01-09-2016,Smallcap,Financials,Completed,26.02,26.02,2016-10-01,3.0,33.15,2017-08-01,Target 1 - Red Doji,10,27.4,33.72,2.45,45.46,2016-10-01,16.19,,33.15,37.5
704,DONEAR,01-09-2016,Smallcap,Textiles,Completed,65.06,65.06,2016-10-01,3.0,58.26,2016-12-01,Stop Loss,2,-10.46,-48.48,-5.38,77.79,2016-11-01,27.33,58.26,58.26,55.36
705,MURUDCERA,01-09-2016,Smallcap,Building Materials,Completed,39.52,39.52,2017-03-01,8.0,37.49,2017-05-01,Stop Loss,2,-5.15,-27.17,-2.61,52.11,2017-04-01,25.37,37.49,,38.99
706,SOMATEX,01-09-2016,Smallcap,Services,Completed,8.95,8.95,2016-10-01,3.0,9.4,2016-12-01,Target 1 - Red Doji,2,5.03,34.22,2.48,13.9,2016-10-01,10.61,9.0,9.4,9.0
707,RADICO,01-09-2016,Largecap,FMCG,Completed,127.6,127.6,2016-10-01,3.0,116.26,2016-11-01,Stop Loss,1,-8.89,-67.27,-8.89,146.38,2016-10-01,15.83,116.26,,109.01
708,PSUBANK,01-09-2016,Smallcap,Indices,Completed,350.0,350.0,2016-11-01,4.0,305.35,2016-12-01,Stop Loss,1,-12.76,-80.56,-12.76,362.6,2016-11-01,15.14,305.35,,305.35
709,NIFTYMETAL,01-09-2016,Smallcap,Indices,No Data,,,,,,,No Data,0,0.0,0.0,0.0,,,0.0,,,
710,ELECTCAST,03-10-2016,Midcap,Industrials,Completed,27.02,27.02,2017-01-01,5.0,23.98,2017-02-01,Stop Loss,1,-11.24,-76.09,-11.24,27.15,2017-01-01,24.63,23.98,,25.86
711,GOLDENTOBC,03-10-2016,Smallcap,Realty,Completed,64.65,64.65,2016-11-01,3.0,62.45,2016-12-01,Stop Loss,1,-3.4,-34.0,-3.4,76.0,2016-11-01,13.69,62.45,,58.9
712,MIRCELECTR,03-10-2016,Smallcap,Consumer Discretionary,Completed,19.15,19.15,2017-09-01,13.0,27.75,2018-06-01,Target 2 - Below 21 EMA,9,44.91,63.98,4.21,64.7,2017-12-01,27.42,,,27.75
713,VEDL,03-10-2016,Largecap,Metals & Mining,Completed,70.4,70.4,2016-11-01,3.0,86.88,2017-05-01,Target 1 - Red Doji,6,23.4,52.28,3.57,94.66,2017-03-01,7.84,,86.88,101.15
714,TATASTEEL,03-10-2016,Largecap,Metals & Mining,Completed,32.48,32.48,2016-11-01,3.0,29.42,2016-12-01,Stop Loss,1,-9.41,-69.46,-9.41,33.2,2016-11-01,15.19,29.42,,29.42
715,ZUARIIND,03-10-2016,Smallcap,FMCG,Completed,119.44,119.44,2017-04-01,8.0,111.44,2017-08-01,Stop Loss,4,-6.7,-18.78,-1.72,135.91,2017-05-01,13.83,111.44,115.21,142.5
716,ELECON,03-10-2016,Midcap,Industrials,Completed,35.62,35.62,2017-10-01,14.0,33.48,2018-05-01,Stop Loss,7,-6.01,-10.07,-0.88,55.24,2017-12-01,24.59,33.48,,33.48
717,GENESYS,03-10-2016,Smallcap,I.T,Completed,108.71,108.71,2016-11-01,3.0,250.89,2018-05-01,Target 2 - Below 21 EMA,18,130.8,74.64,4.76,390.34,2017-10-01,23.67,,,250.89
718,VARDMNPOLY,03-10-2016,Smallcap,Textiles,No Entry,9.68,,,,,,No Entry,0,0.0,0.0,0.0,,,0.0,,,
719,SOMATEX,03-10-2016,Smallcap,Services,Completed,13.9,13.9,2017-03-01,7.0,12.3,2017-05-01,Stop Loss,2,-11.51,-51.99,-5.93,17.05,2017-04-01,18.71,12.3,13.0,14.1
720,CUBEXTUB,03-10-2016,Smallcap,Metals & Mining,Completed,16.9,16.9,2017-06-01,10.0,16.35,2017-08-01,Stop Loss,2,-3.25,-18.01,-1.64,23.75,2017-06-01,21.01,16.35,,19.4
721,MANGCHEFER,03-10-2016,Smallcap,Chemicals,Completed,58.58,58.58,2017-04-01,8.0,59.53,2018-02-01,Target 2 - Below 21 EMA,10,1.61,1.93,0.16,78.78,2017-12-01,18.23,,,59.53
722,ARCHIES,03-10-2016,Smallcap,Consumer Discretionary,Completed,27.4,27.4,2017-04-01,8.0,28.75,2017-08-01,Target 1 - Red Doji,4,4.93,15.52,1.21,40.1,2017-04-01,14.78,,28.75,31.85
723,HBSL,03-10-2016,Smallcap,Financials,Completed,58.38,58.38,2016-12-01,4.0,51.75,2017-01-01,Stop Loss,1,-11.35,-76.45,-11.35,72.58,2016-12-01,24.86,51.75,52.07,11.83
724,AKSHOPTFBR,03-10-2016,Smallcap,Industrials,Completed,28.26,28.26,2016-11-01,3.0,23.8,2016-12-01,Stop Loss,1,-15.76,-87.23,-15.76,30.58,2016-11-01,27.5,23.8,22.37,22.37
725,PNC,03-10-2016,Smallcap,Media,Completed,28.0,28.0,2016-12-01,4.0,26.2,2017-01-01,Stop Loss,1,-6.43,-54.95,-6.43,28.75,2016-12-01,35.54,26.2,,21.65
726,PNB,03-10-2016,Largecap,Bank,Completed,137.97,137.97,2016-11-01,3.0,107.12,2016-12-01,Stop Loss,1,-22.36,-95.2,-22.36,152.49,2016-11-01,24.68,107.12,,107.12
727,BLKASHYAP,03-10-2016,Smallcap,Realty,Completed,27.9,27.9,2017-04-01,8.0,42.75,2018-03-01,Target 2 - Below 21 EMA,11,53.23,59.29,3.96,71.9,2017-11-01,23.12,,,42.75
728,V2RETAIL,03-10-2016,Midcap,Consumer Discretionary,Completed,149.5,149.5,2016-11-01,3.0,111.65,2016-12-01,Stop Loss,1,-25.32,-96.99,-25.32,163.75,2016-11-01,36.92,111.65,,111.65
729,TARMAT,03-10-2016,Smallcap,Realty,Completed,56.35,56.35,2017-02-01,6.0,45.0,2017-03-01,Stop Loss,1,-20.14,-93.27,-20.14,61.35,2017-02-01,26.53,45.0,,42.45
730,KOLTEPATIL,03-10-2016,Smallcap,Realty,Completed,129.18,129.18,2017-03-01,7.0,159.63,2017-07-01,Target 1 - Red Doji,4,23.57,88.67,5.43,193.82,2017-04-01,23.64,,159.63,207.39
731,ALKALI,03-10-2016,Smallcap,Chemicals,No Entry,93.57,,,,,,No Entry,0,0.0,0.0,0.0,,,0.0,,,
732,ONGC,01-11-2016,Largecap,Energy,Completed,121.26,121.26,2016-12-01,3.0,118.81,2017-03-01,Stop Loss,3,-2.02,-7.86,-0.68,134.48,2017-01-01,3.08,118.81,,118.81
733,REGENCERAM,01-11-2016,Smallcap,Building Materials,No Entry,10.2,,,,,,No Entry,0,0.0,0.0,0.0,,,0.0,,,
734,NATIONALUM,01-11-2016,Largecap,Metals & Mining,Completed,34.73,34.73,2016-12-01,3.0,46.15,2018-01-01,Target 1 - Red Doji,13,32.88,30.01,2.21,59.81,2017-11-01,8.91,,46.15,42.01
735,CREST,01-11-2016,Smallcap,Financials,Completed,98.94,98.94,2016-12-01,3.0,96.14,2017-01-01,Stop Loss,1,-2.83,-29.16,-2.83,102.42,2016-12-01,31.49,96.14,,176.95
736,RSSOFTWARE,01-12-2016,Smallcap,I.T,No Entry,127.51,,,,,,No Entry,0,0.0,0.0,0.0,,,0.0,,,
737,DOLPHIN,01-12-2016,Smallcap,Energy,Completed,1147.2,1147.2,2018-01-01,15.0,715.6,2018-02-01,Stop Loss,1,-37.62,-99.65,-37.62,1265.6,2018-01-01,40.27,715.6,,715.6
738,WANBURY,01-12-2016,Smallcap,Healthcare,Completed,65.45,65.45,2017-01-01,3.0,60.2,2017-02-01,Stop Loss,1,-8.02,-63.34,-8.02,75.4,2017-02-01,12.38,60.2,,44.8
739,BLBLIMITED,01-12-2016,Smallcap,Financials,Completed,8.85,8.85,2017-12-01,14.0,6.85,2018-01-01,Stop Loss,1,-22.6,-95.38,-22.6,10.0,2017-12-01,29.38,6.85,,5.85
740,TANLA,01-12-2016,Midcap,I.T,Completed,59.16,59.16,2017-01-01,3.0,49.85,2017-02-01,Stop Loss,1,-15.74,-87.19,-15.74,61.52,2017-01-01,18.48,49.85,,44.75
741,LIQUIDBEES,01-12-2016,Smallcap,Indices,Completed,768.07,768.07,2017-01-01,3.0,856.8,2019-11-01,End of Data,34,11.55,3.93,0.32,863.65,2019-11-01,2.64,,,
742,ELECTCAST,02-01-2017,Midcap,Industrials,Completed,27.15,27.15,2017-03-01,4.0,25.86,2017-08-01,Stop Loss,5,-4.77,-11.07,-0.97,36.31,2017-04-01,19.57,25.86,,25.86
743,MAHSEAMLES,02-01-2017,Midcap,Industrials,Completed,130.07,130.07,2017-02-01,3.0,210.52,2018-02-01,Target 1 - Red Doji,12,61.85,61.85,4.09,249.85,2018-01-01,7.07,,210.52,193.0
744,OILCOUNTUB,02-01-2017,Smallcap,Metals & Mining,Completed,61.65,61.65,2018-01-01,14.0,42.6,2018-02-01,Stop Loss,1,-30.9,-98.82,-30.9,67.45,2018-01-01,37.63,42.6,,42.6
745,ZUARIIND,02-01-2017,Smallcap,FMCG,Completed,119.08,119.08,2017-04-01,5.0,111.44,2017-08-01,Stop Loss,4,-6.42,-18.04,-1.64,135.91,2017-05-01,13.57,111.44,,111.44
746,PRAKASH,02-01-2017,Smallcap,Metals & Mining,Completed,63.15,63.15,2017-02-01,3.0,86.41,2017-09-01,Target 1 - Red Doji,7,36.83,71.18,4.58,122.13,2017-07-01,8.91,,86.41,120.79
747,BHAGYANGR,02-01-2017,Smallcap,Power & Utilities,Completed,26.9,26.9,2017-05-01,6.0,24.75,2017-06-01,Stop Loss,1,-7.99,-63.2,-7.99,28.0,2017-05-01,19.52,24.75,,23.05
748,STCINDIA,02-01-2017,Smallcap,Services,Completed,251.4,251.4,2017-11-01,12.0,188.4,2017-12-01,Stop Loss,1,-25.06,-96.86,-25.06,299.0,2017-11-01,33.57,188.4,,159.0
749,GUJAPOLLO,02-01-2017,Smallcap,Industrials,Completed,131.87,131.87,2017-02-01,3.0,222.88,2017-12-01,Target 1 - Red Doji,10,69.02,87.72,5.39,281.74,2017-09-01,6.55,,222.88,179.79
